id_empresa,ciudad,sector,antiguedad_empresa,distancia_centro,productividad,numero_trabajadores,salario_promedio,rotacion_personal,crecimiento_nomina,numero_servicios,indice_formalizacion,indice_digitalizacion,indice_competencia,satisfaccion_servicio,aporte_mensual
777,Medellín,Comercio,6.9,19.85,58.3,20,3.97,31.5,3.1,3,62.4,72.0,41.6,6.7,10096830.0
778,Cali,Manufactura,5.5,73.58,64.9,62,4.58,29.5,8.3,3,61.6,71.5,93.6,6.9,19276900.0
779,Medellín,Comercio,7.9,42.8,62.3,21,3.01,20.5,5.6,4,75.8,66.8,31.4,8.3,11333356.0
780,Bucaramanga,Manufactura,57.4,27.49,59.0,19,4.1,13.6,13.2,1,82.2,65.3,45.8,7.1,12923379.0
781,Cali,Comercio,8.5,36.94,63.4,2,3.41,28.4,11.6,1,66.7,64.5,45.3,6.7,7285879.0
782,Cali,Transporte,43.3,52.07,56.3,5,3.72,17.6,10.2,1,69.9,67.2,69.0,6.3,8394902.0
783,Manizales,Construcción,8.3,15.97,52.1,74,3.55,24.2,3.6,6,69.4,57.6,96.2,8.3,18208286.0
784,Bogotá,Comercio,1.8,66.06,68.9,7,2.97,24.6,5.7,0,57.0,75.4,90.5,6.3,8814507.0
785,Pereira,Financiero,12.4,2.54,55.4,20,3.46,19.6,4.7,1,61.9,62.2,83.8,4.6,8986274.0
786,Bogotá,Agricultura,17.6,28.55,65.3,4,4.05,31.8,1.4,1,63.2,76.1,58.3,6.5,7166995.0
787,Bogotá,Hoteles,14.2,60.55,67.6,9,3.16,26.7,5.3,2,66.4,66.2,23.0,7.0,8665639.0
788,Bogotá,Profesionales,16.1,6.94,69.5,14,5.33,17.5,9.4,1,65.3,71.4,92.0,6.7,10912228.0
789,Bogotá,Comercio,9.1,27.78,73.1,4,3.47,28.9,10.0,0,71.7,69.9,93.9,5.8,8319460.0
790,Bogotá,Profesionales,25.1,40.46,79.5,9,4.29,17.0,3.1,1,72.1,79.4,67.2,6.5,10191383.0
791,Medellín,Hoteles,10.0,65.71,59.3,24,3.57,27.5,9.0,1,64.0,66.8,40.8,4.4,9530234.0
792,Bucaramanga,Comercio,6.8,25.32,48.6,8,3.37,24.0,1.4,2,65.9,65.1,76.2,6.5,6912746.0
793,Barranquilla,Construcción,8.5,43.68,58.8,10,3.48,29.3,14.5,1,65.2,61.0,50.1,6.0,7810076.0
794,Bucaramanga,Comercio,5.0,25.81,64.4,16,3.2,26.2,9.6,1,59.5,56.7,75.5,7.1,8453792.0
795,Cali,Información,10.1,4.41,64.8,7,4.56,13.0,7.8,0,63.5,58.0,8.6,4.6,10978783.0
796,Cali,Comercio,1.0,53.99,50.2,14,3.58,24.3,10.1,0,53.4,58.6,91.1,6.6,6931343.0
797,Bucaramanga,Comercio,14.2,71.91,47.9,83,3.02,34.5,-3.3,0,60.7,53.9,63.2,6.8,14091156.0
798,Barranquilla,Comercio,9.3,65.53,54.1,9,2.48,27.6,19.9,0,61.7,64.8,0.9,5.6,7127026.0
799,Cali,Financiero,34.2,37.12,63.2,16,4.31,0.9,3.9,1,73.4,59.2,30.0,5.9,11255423.0
800,Barranquilla,Manufactura,9.2,63.6,68.5,9,4.19,6.5,2.3,1,63.6,72.3,40.0,7.4,8917978.0
801,Cali,Salud,5.2,48.52,69.0,24,4.33,23.2,10.5,3,73.8,62.4,56.3,7.0,12640736.0
802,Medellín,Hoteles,9.6,61.91,45.2,2,3.46,33.6,14.3,0,53.6,55.7,28.7,5.2,4743550.0
803,Barranquilla,Comercio,12.3,72.7,39.4,11,2.69,30.2,3.7,4,63.5,47.7,13.6,7.6,6838964.0
804,Cali,Transporte,3.6,54.94,47.7,49,3.9,27.9,10.6,0,51.0,58.2,70.2,6.1,12187329.0
805,Medellín,Comercio,4.3,29.06,59.6,4,3.58,26.9,9.7,0,62.6,61.5,63.3,5.2,6713930.0
806,Medellín,Profesionales,19.4,3.73,76.6,104,5.32,16.4,7.8,0,77.9,75.1,31.7,5.9,30677627.0
807,Cali,Agricultura,13.8,64.97,43.3,19,2.64,22.6,0.5,3,56.7,53.4,76.7,7.2,6732637.0
808,Cartagena,Comercio,29.2,34.8,49.7,17,2.2,17.9,3.0,2,67.3,41.7,46.6,5.8,7960266.0
809,Barranquilla,Transporte,5.5,65.31,55.5,21,3.84,26.7,7.2,1,64.8,60.2,17.0,5.8,9601641.0
810,Cali,Comercio,16.6,58.28,48.2,31,3.91,24.0,12.6,1,62.6,57.6,75.3,6.1,10467470.0
811,Barranquilla,Profesionales,10.8,26.48,59.1,24,4.44,16.9,16.5,1,65.3,64.7,85.9,7.0,12119048.0
812,Barranquilla,Comercio,9.5,55.8,48.3,12,2.34,32.1,5.8,1,59.1,56.9,85.6,6.4,6204862.0
813,Bogotá,Comercio,9.9,29.12,59.8,5,3.31,21.6,6.8,0,59.3,72.1,84.8,6.4,6653723.0
814,Bogotá,Energía,6.3,48.91,88.5,4,6.01,11.1,10.8,0,81.7,82.3,82.3,7.1,17058571.0
815,Barranquilla,Información,22.5,43.88,65.9,22,4.41,16.5,5.0,0,60.0,62.8,88.5,5.1,10502264.0
816,Bogotá,Agricultura,5.3,55.96,60.7,112,3.26,18.6,3.3,3,56.4,67.6,73.9,7.8,21354419.0
817,Bogotá,Manufactura,16.8,10.91,63.3,38,4.58,19.9,4.5,1,65.1,77.4,42.6,6.3,13994662.0
818,Cartagena,Minas,30.3,53.65,76.4,12,5.03,0.6,-7.8,0,86.4,52.9,62.7,5.5,10238770.0
819,Cali,Comercio,4.5,39.23,48.9,11,2.82,21.9,10.9,1,48.5,60.7,69.2,4.9,6027512.0
820,Medellín,Agricultura,7.4,62.22,52.2,3,3.5,24.0,13.3,5,68.3,65.7,22.5,7.0,8484047.0
821,Bogotá,Agricultura,3.9,67.01,49.7,25,3.66,23.2,3.8,3,52.8,71.3,90.2,6.5,9496668.0
822,Bogotá,Información,9.8,19.68,67.8,73,5.29,14.8,4.8,2,68.6,76.0,72.3,6.5,23792486.0
823,Bogotá,Información,26.3,58.52,75.6,21,4.55,17.3,-12.5,1,85.8,77.4,74.9,6.5,11497225.0
824,Otras,Salud,7.8,36.29,57.1,22,4.08,13.9,0.2,2,54.9,49.0,65.4,7.0,9412216.0
825,Cartagena,Construcción,8.3,1.25,55.6,1,3.06,28.1,2.7,0,57.7,52.8,48.2,5.3,4829686.0
826,Cali,Hoteles,24.2,11.09,56.8,4,3.24,25.7,15.5,0,54.5,70.0,62.3,5.5,7066999.0
827,Medellín,Manufactura,7.8,72.94,67.4,21,4.03,10.0,-2.2,3,70.0,71.0,44.6,7.1,11545056.0
828,Bogotá,Información,23.5,13.59,81.3,10,4.96,11.2,9.4,1,84.0,69.8,3.3,6.5,12194709.0
829,Medellín,Información,6.6,14.42,69.3,41,4.05,11.9,4.4,4,64.7,83.0,61.9,8.0,15364226.0
830,Barranquilla,Comercio,7.6,23.3,41.9,4,3.18,35.2,-1.4,0,62.1,58.7,39.9,5.9,4811011.0
831,Bogotá,Comercio,19.9,8.43,58.9,18,2.86,21.0,14.7,2,69.2,69.0,51.8,6.8,10272549.0
832,Bogotá,Construcción,60.0,30.06,60.4,21,4.48,15.0,8.4,3,71.2,62.7,84.5,7.7,12851623.0
833,Cali,Comercio,6.6,29.05,55.9,6,3.74,28.6,9.0,1,64.2,60.7,51.6,6.1,6941629.0
834,Cali,Comercio,27.7,52.43,53.7,63,4.16,28.2,9.6,4,65.6,66.1,47.1,5.8,18390772.0
835,Pereira,Energía,6.7,51.06,72.7,5,4.82,0.0,13.9,1,64.2,58.5,64.0,6.1,8530104.0
836,Bogotá,Comercio,6.6,26.13,84.6,5,4.59,27.2,4.1,0,80.3,85.2,3.5,5.9,10301412.0
837,Otras,Energía,24.1,65.58,62.6,30,4.78,23.3,9.9,3,71.5,47.6,92.4,6.2,13428228.0
838,Cali,Transporte,13.0,75.37,65.5,21,4.02,21.0,1.0,2,74.2,65.3,31.4,6.8,11275011.0
839,Medellín,Minas,5.8,75.75,56.3,19,5.64,13.8,7.9,2,55.2,67.9,47.0,5.3,10740861.0
840,Bogotá,Comercio,7.2,45.6,60.5,47,3.45,18.4,17.5,0,62.5,70.5,38.1,4.6,13596349.0
841,Bogotá,Agricultura,10.2,79.89,52.8,6,2.44,24.3,8.8,1,65.7,54.2,54.0,6.1,6671234.0
842,Cali,Manufactura,8.0,64.54,62.6,22,3.26,8.0,4.7,0,59.1,69.3,19.9,6.1,9192830.0
843,Pereira,Agricultura,18.3,12.55,30.4,56,3.14,17.5,1.5,0,51.4,42.1,78.8,5.5,10700366.0
844,Medellín,Comercio,8.7,66.34,61.5,5,4.04,25.8,4.3,1,56.2,69.7,50.6,7.3,7268893.0
845,Cali,Información,8.8,77.29,73.7,29,4.15,11.9,20.7,1,64.1,76.2,28.0,7.1,12916500.0
846,Medellín,Construcción,4.1,16.91,65.6,16,4.47,23.0,4.2,0,63.6,77.1,69.3,7.0,9652771.0
847,Medellín,Comercio,9.4,3.52,54.0,9,3.0,16.8,2.8,1,56.8,68.2,6.5,6.3,6360814.0
848,Manizales,Información,13.7,75.26,61.2,10,4.45,6.9,-2.4,0,53.5,65.6,18.9,6.3,7075777.0
849,Bogotá,Agricultura,6.0,7.13,47.2,24,3.02,15.5,2.4,1,53.7,66.1,99.8,5.6,8071065.0
850,Medellín,Agricultura,11.1,8.18,53.7,2,2.3,30.3,2.4,3,56.6,60.5,60.5,6.6,6089772.0
851,Medellín,Hoteles,7.9,59.79,50.5,24,3.39,27.4,8.6,0,60.8,58.7,78.5,6.0,8851371.0
852,Otras,Comercio,6.7,51.12,32.7,6,2.7,30.5,7.2,1,53.0,46.5,39.7,6.3,4498212.0
853,Manizales,Profesionales,9.4,24.72,54.8,8,3.73,24.2,17.3,2,78.6,60.8,79.5,5.8,8656970.0
854,Medellín,Comercio,25.7,39.2,61.3,66,3.87,18.3,0.5,1,78.4,66.7,39.7,7.7,17716886.0
855,Bogotá,Información,8.2,22.41,77.2,20,4.78,12.4,15.7,2,88.3,71.5,29.7,6.3,14279568.0
856,Bogotá,Comercio,8.9,8.13,62.1,11,2.88,21.3,1.7,2,55.6,66.9,48.9,5.7,7764052.0
857,Bogotá,Comercio,8.7,49.85,55.9,8,4.01,29.8,-0.5,1,48.8,84.0,91.6,5.5,6356128.0
858,Bogotá,Información,5.3,43.77,70.8,12,5.24,13.2,11.1,1,58.6,75.4,84.6,5.1,9854717.0
859,Medellín,Construcción,13.5,23.91,63.2,26,3.61,24.0,3.5,2,58.0,69.9,91.0,6.4,10947281.0
860,Bogotá,Agricultura,6.4,10.2,46.9,14,2.68,25.5,4.2,2,62.2,67.9,64.3,6.8,7168999.0
861,Barranquilla,Comercio,21.9,59.69,70.3,15,3.1,30.2,4.6,2,71.3,62.4,38.1,7.0,9537200.0
862,Bogotá,Hoteles,5.9,7.88,70.7,14,2.61,23.9,10.8,0,63.6,75.6,83.1,5.9,8353960.0
863,Barranquilla,Información,9.8,72.38,66.7,3,4.79,8.3,7.4,0,74.0,57.7,8.5,5.7,7832518.0
864,Barranquilla,Comercio,7.2,61.12,44.6,1,2.82,20.3,14.1,1,58.0,59.4,67.6,5.7,5720586.0
865,Bogotá,Financiero,29.0,62.75,74.8,9,5.08,2.4,9.3,1,79.8,79.7,75.9,6.8,11315619.0
866,Barranquilla,Transporte,14.0,1.71,52.2,46,3.21,21.9,1.2,1,61.4,59.5,72.5,6.2,11461366.0
867,Medellín,Manufactura,4.7,56.26,64.6,23,4.09,7.6,4.0,2,72.7,74.8,45.3,6.7,11667700.0
868,Otras,Salud,24.3,4.31,65.0,37,3.5,15.7,11.2,3,66.8,55.5,25.9,6.8,13397290.0
869,Bogotá,Información,36.5,10.81,67.6,41,5.8,6.9,10.5,2,77.1,75.1,96.0,5.9,18669875.0
870,Medellín,Comercio,19.6,2.55,64.0,27,3.38,22.8,7.0,1,58.8,64.9,98.9,5.5,10834317.0
871,Medellín,Comercio,7.4,50.79,60.8,1,4.27,29.2,-1.5,0,55.2,55.3,77.7,6.8,5331649.0
872,Cali,Manufactura,4.4,67.34,69.0,25,4.0,24.8,10.4,1,76.5,63.7,42.8,5.9,12116785.0
873,Manizales,Transporte,11.9,33.27,31.9,12,4.16,24.3,17.3,1,55.6,42.6,27.3,6.9,6655665.0
874,Bogotá,Construcción,36.5,11.27,56.8,14,3.96,13.0,-4.8,1,76.6,68.4,27.1,6.2,8412625.0
875,Bogotá,Transporte,9.0,23.89,60.8,6,3.98,31.0,14.6,3,57.9,78.1,57.7,6.6,8740965.0
876,Cali,Comercio,11.6,47.27,46.2,45,2.95,29.3,11.8,0,59.4,49.4,8.3,6.4,10596839.0
877,Barranquilla,Construcción,8.6,0.02,53.4,6,3.0,26.1,15.3,1,58.3,56.2,39.4,7.7,6648500.0
878,Cali,Energía,23.2,35.62,79.6,24,4.9,8.1,9.5,3,79.9,77.9,80.2,6.9,15342426.0
879,Barranquilla,Financiero,6.0,28.02,66.5,101,5.34,8.0,9.2,2,64.8,77.1,46.0,6.5,29352200.0
880,Bogotá,Transporte,14.6,36.06,53.9,11,4.08,20.5,-0.4,0,68.0,68.6,15.2,5.3,7315586.0
881,Medellín,Construcción,5.2,66.06,60.3,10,4.82,35.2,3.5,1,66.5,58.3,76.9,5.7,8244363.0
882,Bogotá,Comercio,12.7,34.5,41.8,7,3.59,23.0,10.3,1,59.4,53.1,22.3,7.0,5957538.0
883,Cali,Comercio,5.8,4.57,52.9,9,4.11,21.0,12.6,0,58.3,61.4,30.6,5.4,6977217.0
884,Otras,Profesionales,10.9,7.2,70.1,35,5.33,18.6,7.4,2,77.5,53.2,37.3,8.0,15653105.0
885,Bogotá,Construcción,23.1,42.06,63.2,3,4.21,16.4,4.9,1,67.4,56.5,64.4,5.7,7718212.0
886,Bogotá,Transporte,19.7,62.03,64.5,13,4.72,13.4,7.7,1,67.0,67.9,3.9,6.2,10146165.0
887,Bogotá,Hoteles,6.7,34.84,55.4,7,3.32,34.7,7.5,0,62.7,64.6,28.2,6.8,6453046.0
888,Bogotá,Información,2.8,53.32,61.3,23,5.68,13.2,11.6,3,59.1,63.8,67.6,7.3,12342482.0
889,Pereira,Transporte,3.5,36.27,41.7,4,3.07,25.3,0.7,0,55.5,48.3,2.7,6.9,4266162.0
890,Pereira,Comercio,8.6,62.9,46.9,9,2.86,32.1,11.9,2,53.2,56.9,39.1,6.6,6138274.0
891,Bogotá,Comercio,13.3,31.82,56.6,15,2.91,24.4,11.9,0,61.2,64.3,7.9,6.5,7487387.0
892,Medellín,Manufactura,4.2,21.46,53.4,11,3.54,15.9,5.3,0,52.0,49.7,20.9,5.9,6918102.0
893,Barranquilla,Salud,29.9,48.27,69.5,10,4.29,8.4,8.2,1,90.1,61.8,88.4,6.1,11137452.0
894,Barranquilla,Construcción,23.9,54.37,59.5,18,3.69,20.5,5.9,2,61.9,59.5,84.3,5.3,9795380.0
895,Otras,Agricultura,2.9,1.21,49.1,53,3.68,29.4,16.6,2,65.1,46.5,8.0,6.5,13224262.0
896,Cali,Profesionales,60.0,1.81,79.2,31,4.39,4.5,4.6,1,99.8,71.1,57.0,6.8,16553999.0
897,Cali,Minas,22.7,44.72,66.9,26,5.21,4.4,4.9,0,69.4,67.2,85.2,5.9,12785149.0
898,Medellín,Hoteles,4.1,48.54,59.2,5,3.08,25.0,9.6,2,67.7,71.4,69.2,6.3,7616283.0
899,Medellín,Información,3.0,68.73,72.8,48,4.89,22.8,10.7,2,75.9,64.2,92.9,6.2,17496997.0
900,Manizales,Hoteles,12.4,47.81,57.7,6,3.17,27.8,1.0,0,64.9,58.8,83.4,6.7,6611241.0
901,Bogotá,Comercio,5.2,11.17,57.1,16,3.71,35.7,2.4,0,63.9,65.2,24.2,5.4,7797333.0
902,Bogotá,Hoteles,18.4,20.73,59.2,26,3.17,30.4,24.0,1,62.8,74.4,35.3,6.3,16035855.0
903,Bogotá,Comercio,9.9,72.67,63.0,13,2.97,17.8,10.7,4,72.9,81.5,64.6,6.4,10394390.0
904,Bogotá,Comercio,9.1,56.32,54.2,5,4.72,28.8,12.8,2,59.8,69.0,58.8,6.9,7488850.0
905,Bucaramanga,Hoteles,7.2,22.91,29.7,14,3.7,21.8,-1.5,0,50.2,46.3,42.3,5.9,5167459.0
906,Bogotá,Profesionales,15.4,61.28,79.4,4,4.89,7.1,2.9,0,71.7,70.0,98.3,4.9,9189751.0
907,Pereira,Transporte,4.4,8.0,57.0,7,3.53,26.9,16.2,1,55.6,63.3,2.1,6.7,6870198.0
908,Medellín,Energía,6.1,6.8,71.7,16,5.51,17.2,11.4,1,66.0,64.6,94.1,7.0,16412952.0
909,Otras,Comercio,16.2,70.86,45.5,11,3.26,22.8,0.4,1,62.0,54.5,63.1,6.9,6152099.0
910,Barranquilla,Comercio,18.6,27.96,57.2,1,2.55,20.8,-3.8,2,56.6,63.6,56.3,6.7,5630152.0
911,Barranquilla,Profesionales,10.0,10.36,66.4,23,4.38,9.4,9.9,1,81.4,64.0,7.5,6.6,12311458.0
912,Medellín,Construcción,5.2,5.15,52.6,2,4.03,26.5,7.6,2,54.0,65.6,4.6,6.6,6160778.0
913,Barranquilla,Información,36.6,58.69,64.0,30,5.41,3.1,8.9,1,70.0,48.7,47.9,5.9,14770595.0
914,Bogotá,Financiero,5.2,64.93,58.7,6,5.18,15.5,16.9,2,70.9,66.9,37.2,5.6,8814607.0
915,Bucaramanga,Manufactura,4.1,6.52,51.3,17,3.87,18.7,-0.3,5,50.2,71.0,17.3,7.1,9234829.0
916,Otras,Profesionales,6.6,62.55,68.1,2,4.15,17.8,8.3,1,67.5,56.4,47.8,5.2,7555952.0
917,Medellín,Profesionales,4.7,40.4,65.6,37,4.75,6.4,8.5,1,65.1,72.8,67.8,5.8,14364599.0
918,Cali,Energía,19.0,60.95,76.0,14,5.34,10.6,8.8,3,70.9,63.3,29.4,6.6,12225887.0
919,Bucaramanga,Comercio,5.0,44.74,55.5,11,3.48,25.0,10.8,2,61.5,59.5,66.4,7.6,7415378.0
920,Bogotá,Transporte,4.7,26.4,56.6,37,4.6,25.0,1.0,3,58.0,67.8,29.5,6.0,13080179.0
921,Barranquilla,Información,18.2,65.29,47.5,29,4.78,11.1,4.1,1,60.9,44.8,52.9,5.9,11367572.0
922,Pereira,Comercio,17.1,36.72,44.8,13,2.6,29.0,11.2,2,58.5,50.3,62.6,6.7,7026570.0
923,Bogotá,Manufactura,33.1,75.27,70.5,22,4.93,9.9,4.7,0,77.5,76.9,100.0,6.2,12565938.0
924,Cali,Información,6.5,39.13,70.7,30,4.36,16.1,-1.1,1,71.3,61.9,64.3,7.5,15443583.0
925,Bucaramanga,Comercio,1.7,77.59,59.2,3,3.44,20.0,13.0,0,66.7,67.4,47.6,5.7,7073810.0
926,Bogotá,Financiero,13.1,53.37,76.6,2,6.06,13.9,15.7,1,73.3,68.0,16.0,6.3,9557011.0
927,Pereira,Transporte,17.1,12.77,66.9,38,3.29,28.1,13.6,1,73.6,66.4,9.7,6.6,13348585.0
928,Pereira,Construcción,17.0,50.31,41.8,10,3.53,18.7,12.1,2,58.1,60.5,51.1,6.8,7110629.0
929,Bogotá,Salud,27.7,33.15,63.9,18,4.34,8.6,0.7,1,69.0,65.3,2.3,5.8,10636731.0
930,Medellín,Construcción,26.3,8.63,50.8,21,3.79,18.6,1.3,0,58.6,63.2,83.2,5.6,8684300.0
931,Bucaramanga,Transporte,21.5,59.59,37.1,2,2.99,15.8,9.4,2,51.7,65.8,16.1,7.2,5821280.0
932,Medellín,Hoteles,19.8,7.51,46.7,51,2.8,26.5,-2.7,2,75.8,68.9,89.5,6.2,12206320.0
933,Pereira,Transporte,21.0,77.6,45.9,12,3.89,15.3,2.8,1,68.6,53.9,13.9,6.5,7578637.0
934,Bogotá,Manufactura,25.2,32.89,76.4,44,4.03,19.3,6.5,2,62.2,80.1,46.2,7.1,19857639.0
935,Pereira,Comercio,4.9,59.48,47.2,3,3.36,31.7,1.7,0,55.3,48.6,8.7,6.1,4587875.0
936,Bogotá,Manufactura,9.9,11.42,48.9,9,3.41,14.4,12.6,1,52.4,57.9,67.7,6.0,6815564.0
937,Medellín,Salud,12.8,76.72,70.6,15,4.88,19.1,5.6,0,80.8,67.0,63.9,7.4,10969471.0
938,Barranquilla,Comercio,38.9,63.51,58.1,5,3.48,20.2,12.9,0,70.2,60.3,45.1,6.2,8617109.0
939,Bogotá,Comercio,7.3,70.37,63.9,4,3.36,36.8,10.7,0,70.7,71.9,37.9,5.1,7665197.0
940,Cali,Profesionales,7.3,47.41,77.8,9,5.57,8.6,1.3,1,67.7,58.7,16.2,6.2,10218431.0
941,Bogotá,Información,3.9,40.81,77.3,26,5.63,5.0,0.6,3,67.3,72.3,7.2,6.6,14723279.0
942,Bogotá,Manufactura,4.6,0.27,66.2,23,5.29,22.0,8.8,2,67.0,64.4,77.6,6.8,12674632.0
943,Bucaramanga,Comercio,8.9,13.77,60.3,5,3.23,22.9,-0.0,3,70.6,52.7,51.9,7.1,7688884.0
944,Otras,Información,22.9,14.12,63.0,18,3.89,15.5,2.1,1,64.7,46.9,66.5,5.9,9734037.0
945,Medellín,Manufactura,12.1,50.81,59.4,104,4.01,12.2,7.7,2,60.3,61.7,100.0,5.9,23500252.0
946,Bogotá,Manufactura,1.8,40.55,73.6,29,4.88,14.9,2.3,0,63.2,79.9,78.0,7.0,13384575.0
947,Medellín,Manufactura,15.8,20.62,61.7,23,4.19,21.2,0.1,7,70.6,61.2,73.4,8.8,12860488.0
948,Otras,Comercio,8.1,17.93,64.5,113,3.54,28.1,7.1,2,73.7,57.7,45.8,5.9,23515737.0
949,Manizales,Agricultura,8.0,37.36,28.4,2,2.84,13.7,0.4,2,54.6,50.2,81.7,8.5,4304457.0
950,Barranquilla,Construcción,5.8,19.41,60.5,8,3.6,32.1,0.5,1,58.0,67.1,11.2,6.3,6898386.0
951,Cartagena,Profesionales,18.0,54.32,56.6,27,4.21,25.4,3.1,0,64.4,58.5,93.4,7.5,9945857.0
952,Cali,Información,23.7,22.13,68.8,52,4.2,10.4,14.0,1,76.9,69.6,50.2,7.6,18025659.0
953,Bogotá,Comercio,14.6,59.66,70.7,14,3.87,27.0,10.2,1,74.0,70.0,43.5,6.3,10536407.0
954,Manizales,Comercio,5.1,60.81,52.6,32,3.22,29.0,18.0,1,61.8,64.2,20.2,6.6,10059690.0
955,Bogotá,Agricultura,16.4,17.89,42.3,23,3.65,23.2,-2.1,3,61.2,55.9,96.7,7.4,8785961.0
956,Bogotá,Comercio,15.5,16.02,68.9,38,4.36,26.4,8.8,0,75.8,84.3,59.1,5.2,15011156.0
957,Medellín,Manufactura,4.2,29.72,72.0,3,4.26,16.9,-4.2,1,68.3,65.6,29.0,6.0,7854852.0
958,Pereira,Información,8.0,18.64,75.5,19,5.11,10.9,3.1,1,76.8,74.1,72.8,6.6,12171480.0
959,Bogotá,Comercio,19.8,56.3,61.5,15,3.96,27.3,-2.1,0,57.2,74.8,16.7,5.7,7915750.0
960,Bogotá,Construcción,8.4,2.08,45.7,7,4.29,25.0,9.1,2,65.7,56.6,49.7,6.9,6792683.0
961,Bogotá,Profesionales,20.2,36.48,85.4,11,5.04,6.7,18.9,3,88.1,74.4,55.4,6.8,14763529.0
962,Medellín,Manufactura,18.8,70.97,57.9,59,4.15,22.3,8.5,3,66.9,64.6,9.4,7.5,17441010.0
963,Bucaramanga,Minas,25.6,46.95,68.5,35,4.51,9.5,7.2,2,77.5,66.6,51.8,5.0,15247801.0
964,Cali,Manufactura,15.0,27.61,61.1,56,2.93,18.2,5.1,1,61.0,55.8,22.2,5.0,12614748.0
965,Bogotá,Comercio,16.9,32.42,51.4,11,4.18,16.6,-0.3,1,78.8,69.5,99.6,6.8,8089993.0
966,Bogotá,Financiero,11.8,45.98,84.0,22,5.36,14.9,9.6,2,75.8,77.2,4.3,6.3,15092815.0
967,Medellín,Agricultura,1.9,47.27,48.1,6,3.27,27.2,-7.2,2,62.6,56.3,82.9,6.7,6321356.0
968,Barranquilla,Profesionales,6.5,36.13,71.3,5,4.1,12.2,1.6,1,82.2,64.0,90.4,4.8,9065587.0
969,Cartagena,Construcción,10.2,16.24,45.1,5,3.51,21.9,11.2,0,59.0,63.1,9.3,6.1,5672996.0
970,Cali,Comercio,6.7,24.11,51.2,6,3.41,29.3,-1.7,1,55.8,57.6,48.3,6.1,5720839.0
971,Medellín,Comercio,16.7,38.38,65.2,7,4.08,25.8,9.1,0,79.7,56.2,86.9,6.2,8311987.0
972,Otras,Transporte,9.8,50.02,54.5,19,4.06,22.2,9.2,1,63.9,56.9,46.7,6.2,9209880.0
973,Bogotá,Comercio,7.6,19.45,58.8,10,3.57,27.4,-1.1,0,59.4,66.5,47.5,6.2,7698501.0
974,Manizales,Agricultura,11.1,3.12,44.8,7,2.96,19.9,4.8,2,61.8,59.8,68.1,6.4,6475828.0
975,Medellín,Construcción,6.5,22.54,53.8,35,4.64,20.7,4.1,1,65.6,61.2,30.5,5.1,12527998.0
976,Cartagena,Transporte,12.4,68.14,54.8,27,3.83,15.2,16.0,0,57.5,54.5,66.6,6.9,9774723.0
977,Bogotá,Profesionales,3.3,37.6,86.5,151,4.41,15.8,8.1,2,78.3,75.5,85.3,6.9,36420494.0
978,Medellín,Comercio,1.1,14.07,68.6,8,3.22,25.4,10.8,1,63.2,79.7,23.0,6.4,8295849.0
979,Bogotá,Minas,3.4,55.42,85.1,115,6.06,18.9,-3.6,3,77.9,73.9,46.7,8.6,37348552.0
980,Manizales,Comercio,26.1,76.73,52.6,9,2.78,25.4,12.5,1,69.1,55.7,51.4,5.2,7886534.0
981,Bogotá,Profesionales,3.5,41.95,79.8,11,5.23,21.9,13.3,2,78.2,68.1,32.8,5.4,13903862.0
982,Cali,Manufactura,7.0,64.68,78.1,15,4.46,19.0,-2.4,2,76.4,71.2,53.6,7.3,11500985.0
983,Bogotá,Comercio,14.5,4.2,55.2,24,3.73,22.6,4.7,1,68.5,60.2,20.1,6.6,10135933.0
984,Otras,Manufactura,1.9,43.12,67.5,5,3.72,17.4,5.0,1,68.3,54.6,28.4,6.9,7622446.0
985,Cali,Salud,8.9,52.78,69.0,11,4.41,17.5,5.4,1,65.3,63.9,68.7,6.0,8899924.0
986,Medellín,Financiero,43.0,49.4,80.3,23,5.26,8.7,1.3,1,84.7,76.4,10.0,6.5,14079543.0
987,Bogotá,Información,4.9,31.18,65.7,5,4.68,12.2,4.1,1,69.2,76.5,30.0,5.3,8469138.0
988,Bogotá,Información,45.4,44.59,76.0,6,4.59,8.2,10.3,1,78.4,74.3,23.4,6.1,11035449.0
989,Cali,Transporte,8.3,19.17,52.1,3,3.94,23.5,3.9,1,55.7,51.7,81.5,4.8,5661816.0
990,Medellín,Comercio,10.9,55.11,53.0,42,4.26,29.4,10.1,1,73.9,69.5,51.3,5.9,13793306.0
991,Barranquilla,Comercio,9.6,10.45,57.5,13,3.84,22.9,6.2,0,69.6,66.8,29.2,5.8,8669849.0
992,Cali,Profesionales,9.1,31.27,62.3,5,3.94,12.8,20.3,1,60.2,54.2,58.6,5.3,7886244.0
993,Bogotá,Manufactura,13.3,20.02,74.2,15,4.93,10.4,14.6,1,70.8,75.3,25.8,7.2,11920628.0
994,Bogotá,Comercio,8.8,65.6,69.3,6,4.27,30.4,-1.7,1,66.7,78.3,31.7,5.9,8129982.0
995,Bogotá,Comercio,25.1,13.2,48.5,33,3.03,25.7,3.6,2,65.3,68.7,98.8,6.2,9836905.0
996,Cali,Comercio,9.4,77.31,48.2,12,2.77,23.1,6.2,3,54.6,56.0,34.7,7.2,7189224.0
997,Bogotá,Construcción,5.1,24.27,60.6,6,4.3,16.9,2.1,1,57.1,68.8,83.5,6.5,7195468.0
